PING 172.44.0.2 (172.44.0.2) 512(540) bytes of data.
520 bytes from 172.44.0.2: icmp_seq=186 ttl=64 time=0.393 ms
520 bytes from 172.44.0.2: icmp_seq=187 ttl=64 time=0.337 ms
520 bytes from 172.44.0.2: icmp_seq=188 ttl=64 time=0.308 ms
520 bytes from 172.44.0.2: icmp_seq=189 ttl=64 time=4.41 ms
520 bytes from 172.44.0.2: icmp_seq=190 ttl=64 time=0.341 ms
520 bytes from 172.44.0.2: icmp_seq=191 ttl=64 time=0.306 ms
520 bytes from 172.44.0.2: icmp_seq=192 ttl=64 time=0.174 ms
520 bytes from 172.44.0.2: icmp_seq=193 ttl=64 time=0.603 ms
520 bytes from 172.44.0.2: icmp_seq=194 ttl=64 time=0.244 ms
520 bytes from 172.44.0.2: icmp_seq=195 ttl=64 time=0.323 ms
520 bytes from 172.44.0.2: icmp_seq=196 ttl=64 time=0.381 ms
520 bytes from 172.44.0.2: icmp_seq=197 ttl=64 time=0.484 ms
520 bytes from 172.44.0.2: icmp_seq=198 ttl=64 time=0.341 ms
520 bytes from 172.44.0.2: icmp_seq=199 ttl=64 time=0.394 ms
520 bytes from 172.44.0.2: icmp_seq=200 ttl=64 time=2.16 ms
520 bytes from 172.44.0.2: icmp_seq=201 ttl=64 time=0.412 ms
520 bytes from 172.44.0.2: icmp_seq=202 ttl=64 time=0.373 ms
520 bytes from 172.44.0.2: icmp_seq=203 ttl=64 time=0.913 ms
520 bytes from 172.44.0.2: icmp_seq=204 ttl=64 time=0.382 ms
520 bytes from 172.44.0.2: icmp_seq=205 ttl=64 time=0.403 ms
520 bytes from 172.44.0.2: icmp_seq=206 ttl=64 time=0.394 ms
520 bytes from 172.44.0.2: icmp_seq=207 ttl=64 time=0.388 ms
520 bytes from 172.44.0.2: icmp_seq=208 ttl=64 time=0.355 ms
520 bytes from 172.44.0.2: icmp_seq=209 ttl=64 time=0.430 ms
520 bytes from 172.44.0.2: icmp_seq=210 ttl=64 time=0.369 ms
520 bytes from 172.44.0.2: icmp_seq=211 ttl=64 time=0.407 ms
520 bytes from 172.44.0.2: icmp_seq=212 ttl=64 time=0.400 ms
520 bytes from 172.44.0.2: icmp_seq=213 ttl=64 time=0.387 ms
520 bytes from 172.44.0.2: icmp_seq=214 ttl=64 time=0.385 ms
520 bytes from 172.44.0.2: icmp_seq=215 ttl=64 time=0.397 ms
520 bytes from 172.44.0.2: icmp_seq=216 ttl=64 time=0.477 ms
520 bytes from 172.44.0.2: icmp_seq=217 ttl=64 time=0.387 ms
520 bytes from 172.44.0.2: icmp_seq=218 ttl=64 time=0.599 ms
520 bytes from 172.44.0.2: icmp_seq=219 ttl=64 time=0.380 ms
520 bytes from 172.44.0.2: icmp_seq=220 ttl=64 time=0.413 ms
520 bytes from 172.44.0.2: icmp_seq=221 ttl=64 time=0.555 ms
520 bytes from 172.44.0.2: icmp_seq=222 ttl=64 time=0.384 ms
520 bytes from 172.44.0.2: icmp_seq=223 ttl=64 time=0.498 ms
520 bytes from 172.44.0.2: icmp_seq=224 ttl=64 time=0.403 ms
520 bytes from 172.44.0.2: icmp_seq=225 ttl=64 time=0.340 ms
520 bytes from 172.44.0.2: icmp_seq=226 ttl=64 time=0.718 ms
520 bytes from 172.44.0.2: icmp_seq=227 ttl=64 time=0.382 ms
520 bytes from 172.44.0.2: icmp_seq=228 ttl=64 time=4.17 ms
520 bytes from 172.44.0.2: icmp_seq=229 ttl=64 time=0.360 ms
520 bytes from 172.44.0.2: icmp_seq=230 ttl=64 time=0.408 ms
520 bytes from 172.44.0.2: icmp_seq=231 ttl=64 time=0.379 ms
520 bytes from 172.44.0.2: icmp_seq=232 ttl=64 time=0.386 ms
520 bytes from 172.44.0.2: icmp_seq=233 ttl=64 time=0.421 ms
520 bytes from 172.44.0.2: icmp_seq=234 ttl=64 time=0.413 ms
520 bytes from 172.44.0.2: icmp_seq=235 ttl=64 time=0.589 ms
520 bytes from 172.44.0.2: icmp_seq=236 ttl=64 time=1.64 ms
520 bytes from 172.44.0.2: icmp_seq=237 ttl=64 time=1.20 ms
520 bytes from 172.44.0.2: icmp_seq=238 ttl=64 time=0.481 ms
520 bytes from 172.44.0.2: icmp_seq=239 ttl=64 time=0.485 ms
520 bytes from 172.44.0.2: icmp_seq=240 ttl=64 time=0.447 ms
520 bytes from 172.44.0.2: icmp_seq=241 ttl=64 time=0.369 ms
520 bytes from 172.44.0.2: icmp_seq=242 ttl=64 time=0.429 ms
520 bytes from 172.44.0.2: icmp_seq=243 ttl=64 time=0.880 ms
520 bytes from 172.44.0.2: icmp_seq=244 ttl=64 time=1.40 ms
520 bytes from 172.44.0.2: icmp_seq=245 ttl=64 time=0.505 ms
520 bytes from 172.44.0.2: icmp_seq=246 ttl=64 time=0.673 ms
520 bytes from 172.44.0.2: icmp_seq=247 ttl=64 time=0.664 ms
520 bytes from 172.44.0.2: icmp_seq=248 ttl=64 time=0.736 ms
520 bytes from 172.44.0.2: icmp_seq=249 ttl=64 time=0.410 ms
520 bytes from 172.44.0.2: icmp_seq=250 ttl=64 time=0.466 ms
520 bytes from 172.44.0.2: icmp_seq=251 ttl=64 time=0.504 ms
520 bytes from 172.44.0.2: icmp_seq=252 ttl=64 time=0.354 ms
520 bytes from 172.44.0.2: icmp_seq=253 ttl=64 time=0.383 ms
520 bytes from 172.44.0.2: icmp_seq=254 ttl=64 time=0.388 ms
520 bytes from 172.44.0.2: icmp_seq=255 ttl=64 time=0.371 ms
520 bytes from 172.44.0.2: icmp_seq=256 ttl=64 time=4.23 ms
520 bytes from 172.44.0.2: icmp_seq=257 ttl=64 time=0.394 ms
520 bytes from 172.44.0.2: icmp_seq=258 ttl=64 time=0.414 ms
520 bytes from 172.44.0.2: icmp_seq=259 ttl=64 time=0.398 ms
520 bytes from 172.44.0.2: icmp_seq=260 ttl=64 time=0.368 ms
520 bytes from 172.44.0.2: icmp_seq=261 ttl=64 time=0.397 ms
520 bytes from 172.44.0.2: icmp_seq=262 ttl=64 time=0.380 ms
520 bytes from 172.44.0.2: icmp_seq=263 ttl=64 time=0.388 ms
520 bytes from 172.44.0.2: icmp_seq=264 ttl=64 time=0.358 ms
520 bytes from 172.44.0.2: icmp_seq=265 ttl=64 time=0.378 ms
520 bytes from 172.44.0.2: icmp_seq=266 ttl=64 time=0.376 ms
520 bytes from 172.44.0.2: icmp_seq=267 ttl=64 time=0.379 ms
520 bytes from 172.44.0.2: icmp_seq=268 ttl=64 time=0.340 ms
520 bytes from 172.44.0.2: icmp_seq=269 ttl=64 time=0.386 ms
520 bytes from 172.44.0.2: icmp_seq=270 ttl=64 time=0.330 ms
520 bytes from 172.44.0.2: icmp_seq=271 ttl=64 time=0.415 ms
520 bytes from 172.44.0.2: icmp_seq=272 ttl=64 time=0.383 ms
520 bytes from 172.44.0.2: icmp_seq=273 ttl=64 time=0.374 ms
520 bytes from 172.44.0.2: icmp_seq=274 ttl=64 time=0.428 ms
520 bytes from 172.44.0.2: icmp_seq=275 ttl=64 time=0.521 ms
520 bytes from 172.44.0.2: icmp_seq=276 ttl=64 time=0.360 ms
520 bytes from 172.44.0.2: icmp_seq=277 ttl=64 time=0.505 ms
520 bytes from 172.44.0.2: icmp_seq=278 ttl=64 time=0.396 ms
520 bytes from 172.44.0.2: icmp_seq=279 ttl=64 time=0.445 ms
520 bytes from 172.44.0.2: icmp_seq=280 ttl=64 time=0.408 ms
520 bytes from 172.44.0.2: icmp_seq=281 ttl=64 time=0.494 ms
520 bytes from 172.44.0.2: icmp_seq=282 ttl=64 time=0.362 ms
520 bytes from 172.44.0.2: icmp_seq=283 ttl=64 time=0.458 ms
520 bytes from 172.44.0.2: icmp_seq=284 ttl=64 time=0.527 ms
520 bytes from 172.44.0.2: icmp_seq=285 ttl=64 time=0.284 ms
520 bytes from 172.44.0.2: icmp_seq=286 ttl=64 time=0.306 ms
520 bytes from 172.44.0.2: icmp_seq=287 ttl=64 time=0.374 ms
520 bytes from 172.44.0.2: icmp_seq=288 ttl=64 time=0.444 ms
520 bytes from 172.44.0.2: icmp_seq=289 ttl=64 time=0.395 ms
520 bytes from 172.44.0.2: icmp_seq=290 ttl=64 time=0.448 ms
520 bytes from 172.44.0.2: icmp_seq=291 ttl=64 time=0.443 ms
520 bytes from 172.44.0.2: icmp_seq=292 ttl=64 time=0.447 ms
520 bytes from 172.44.0.2: icmp_seq=293 ttl=64 time=1.02 ms
520 bytes from 172.44.0.2: icmp_seq=294 ttl=64 time=0.406 ms
520 bytes from 172.44.0.2: icmp_seq=295 ttl=64 time=0.383 ms
520 bytes from 172.44.0.2: icmp_seq=296 ttl=64 time=0.417 ms
520 bytes from 172.44.0.2: icmp_seq=297 ttl=64 time=0.365 ms
520 bytes from 172.44.0.2: icmp_seq=298 ttl=64 time=0.533 ms
520 bytes from 172.44.0.2: icmp_seq=299 ttl=64 time=0.436 ms
520 bytes from 172.44.0.2: icmp_seq=300 ttl=64 time=0.464 ms

--- 172.44.0.2 ping statistics ---
300 packets transmitted, 300 received, 0% packet loss, time 31077ms
rtt min/avg/max/mdev = 0.174/0.446/4.409/0.428 ms
